 format: day,hour,forecast,value  location:53_120 Start : 20170701 
 2,1100,+22,207.000000 
 2,1100,+25,200.000000 
 2,1100,+28,207.000000 
 2,1100,+31,209.000000 
 2,1100,+34,207.000000 
 2,1100,+37,180.000000 
 2,1100,+40,205.000000 
 2,1100,+43,217.000000 
 2,1100,+46,191.000000 
 2,1100,+49,112.000000 
 2,1100,+52,53.000000 
 2,1400,+4,237.000000 
 2,1400,+7,228.000000 
 2,1400,+10,246.000000 
 2,1400,+13,217.000000 
 2,1400,+16,209.000000 
 2,1400,+19,207.000000 
 2,1400,+22,200.000000 
 2,1400,+25,207.000000 
 2,1400,+28,209.000000 
 2,1400,+31,207.000000 
 2,1400,+34,180.000000 
 2,1400,+37,205.000000 
 2,1400,+40,217.000000 
 2,1400,+43,191.000000 
 2,1400,+46,112.000000 
 2,1400,+49,53.000000 
 2,1700,+4,228.000000 
 2,1700,+7,246.000000 
 2,1700,+10,217.000000 
 2,1700,+13,209.000000 
 2,1700,+16,207.000000 
 2,1700,+19,200.000000 
 2,1700,+22,207.000000 
 2,1700,+25,209.000000 
 2,1700,+28,207.000000 
 2,1700,+31,180.000000 
 2,1700,+34,205.000000 
 2,1700,+37,217.000000 
 2,1700,+40,191.000000 
 2,1700,+43,112.000000 
 2,1700,+46,53.000000 
 2,2000,+4,204.000000 
 2,2000,+7,216.000000 
 2,2000,+10,213.000000 
 2,2000,+13,213.000000 
 2,2000,+16,205.000000 
 2,2000,+19,219.000000 
 2,2000,+22,239.000000 
 2,2000,+25,39.000000 
 2,2000,+28,168.000000 
 2,2000,+31,212.000000 
 2,2000,+34,223.000000 
 2,2000,+37,277.000000 
 2,2000,+40,225.000000 
 2,2000,+43,311.000000 
 2,2000,+46,343.000000 
 2,2000,+49,82.000000 
 2,2000,+52,21.000000 
 2,2000,+55,304.000000 
 2,2000,+58,255.000000 
 2,2000,+61,216.000000 
 2,2000,+64,173.000000 
 2,2000,+67,172.000000 
 2,2300,+4,216.000000 
 2,2300,+7,213.000000 
 2,2300,+10,213.000000 
 2,2300,+13,205.000000 
 2,2300,+16,219.000000 
 2,2300,+19,239.000000 
 2,2300,+22,39.000000 
 2,2300,+25,168.000000 
 2,2300,+28,212.000000 
 2,2300,+31,223.000000 
 2,2300,+34,277.000000 
 2,2300,+37,225.000000 
 2,2300,+40,311.000000 
 2,2300,+43,343.000000 
 2,2300,+46,82.000000 
 2,2300,+49,21.000000 
 2,2300,+52,304.000000 
 2,2300,+55,255.000000 
 2,2300,+58,216.000000 
 2,2300,+61,173.000000 
 2,2300,+64,172.000000 
 3,0200,+4,213.000000 
 3,0200,+7,213.000000 
 3,0200,+10,205.000000 
 3,0200,+13,219.000000 
 3,0200,+16,239.000000 
 3,0200,+19,39.000000 
 3,0200,+22,168.000000 
 3,0200,+25,212.000000 
 3,0200,+28,223.000000 
 3,0200,+31,277.000000 
 3,0200,+34,225.000000 
 3,0200,+37,311.000000 
 3,0200,+40,343.000000 
 3,0200,+43,82.000000 
 3,0200,+46,21.000000 
 3,0200,+49,304.000000 
 3,0200,+52,255.000000 
 3,0200,+55,216.000000 
 3,0200,+58,173.000000 
 3,0200,+61,172.000000 
 3,0500,+4,213.000000 
 3,0500,+7,205.000000 
 3,0500,+10,219.000000 
 3,0500,+13,239.000000 
 3,0500,+16,39.000000 
 3,0500,+19,168.000000 
 3,0500,+22,212.000000 
 3,0500,+25,223.000000 
 3,0500,+28,277.000000 
 3,0500,+31,225.000000 
 3,0500,+34,311.000000 
 3,0500,+37,343.000000 
 3,0500,+40,82.000000 
 3,0500,+43,21.000000 
 3,0500,+46,304.000000 
 3,0500,+49,255.000000 
 3,0500,+52,216.000000 
 3,0500,+55,173.000000 
 3,0500,+58,172.000000 
 3,0800,+4,216.000000 
 3,0800,+7,242.000000 
 3,0800,+10,224.000000 
 3,0800,+13,282.000000 
 3,0800,+16,326.000000 
 3,0800,+19,225.000000 
 3,0800,+22,278.000000 
 3,0800,+25,268.000000 
 3,0800,+28,258.000000 
 3,0800,+31,225.000000 
 3,0800,+34,222.000000 
 3,0800,+37,228.000000 
 3,0800,+40,207.000000 
 3,0800,+43,229.000000 
 3,0800,+46,267.000000 
 3,0800,+49,318.000000 
 3,0800,+52,315.000000 
 3,0800,+55,258.000000 
 3,1100,+4,242.000000 
 3,1100,+7,224.000000 
 3,1100,+10,282.000000 
 3,1100,+13,326.000000 
 3,1100,+16,225.000000 
 3,1100,+19,278.000000 
 3,1100,+22,268.000000 
 3,1100,+25,258.000000 
 3,1100,+28,225.000000 
 3,1100,+31,222.000000 
 3,1100,+34,228.000000 
 3,1100,+37,207.000000 
 3,1100,+40,229.000000 
 3,1100,+43,267.000000 
 3,1100,+46,318.000000 
 3,1100,+49,315.000000 
 3,1100,+52,258.000000 
 3,1400,+4,224.000000 
 3,1400,+7,282.000000 
 3,1400,+10,326.000000 
 3,1400,+13,225.000000 
 3,1400,+16,278.000000 
 3,1400,+19,268.000000 
 3,1400,+22,258.000000 
 3,1400,+25,225.000000 
 3,1400,+28,222.000000 
 3,1400,+31,228.000000 
 3,1400,+34,207.000000 
 3,1400,+37,229.000000 
 3,1400,+40,267.000000 
 3,1400,+43,318.000000 
 3,1400,+46,315.000000 
 3,1400,+49,258.000000 
 3,1700,+4,282.000000 
 3,1700,+7,326.000000 
 3,1700,+10,225.000000 
 3,1700,+13,278.000000 
 3,1700,+16,268.000000 
 3,1700,+19,258.000000 
 3,1700,+22,225.000000 
 3,1700,+25,222.000000 
 3,1700,+28,228.000000 
 3,1700,+31,207.000000 
 3,1700,+34,229.000000 
 3,1700,+37,267.000000 
 3,1700,+40,318.000000 
 3,1700,+43,315.000000 
 3,1700,+46,258.000000 
 3,2000,+4,30.000000 
 3,2000,+7,331.000000 
 3,2000,+10,220.000000 
 3,2000,+13,247.000000 
 3,2000,+16,291.000000 
 3,2000,+19,168.000000 
 3,2000,+22,184.000000 
 3,2000,+25,202.000000 
 3,2000,+28,180.000000 
 3,2000,+31,319.000000 
 3,2000,+34,259.000000 
 3,2000,+37,270.000000 
 3,2000,+40,268.000000 
 3,2000,+43,237.000000 
 3,2000,+46,247.000000 
 3,2000,+49,166.000000 
 3,2000,+52,148.000000 
 3,2000,+55,293.000000 
 3,2000,+58,307.000000 
 3,2000,+61,280.000000 
 3,2000,+64,270.000000 
 3,2000,+67,74.000000 
 3,2300,+4,331.000000 
 3,2300,+7,220.000000 
 3,2300,+10,247.000000 
 3,2300,+13,291.000000 
 3,2300,+16,168.000000 
 3,2300,+19,184.000000 
 3,2300,+22,202.000000 
 3,2300,+25,180.000000 
 3,2300,+28,319.000000 
 3,2300,+31,259.000000 
 3,2300,+34,270.000000 
 3,2300,+37,268.000000 
 3,2300,+40,237.000000 
 3,2300,+43,247.000000 
 3,2300,+46,166.000000 
 3,2300,+49,148.000000 
 3,2300,+52,293.000000 
 3,2300,+55,307.000000 
 3,2300,+58,280.000000 
 3,2300,+61,270.000000 
 3,2300,+64,74.000000 
 4,0200,+4,220.000000 
 4,0200,+7,247.000000 
 4,0200,+10,291.000000 
 4,0200,+13,168.000000 
 4,0200,+16,184.000000 
 4,0200,+19,202.000000 
 4,0200,+22,180.000000 
