일자,호수위(EL.m),해수위(EL.m),우량(mm),평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s)
2019-04-19,-3.57,-3.14,0.0,13.5,6.9,19.5,1.0
2019-04-18,-3.17,-1.49,0.0,11.2,5.2,18.0,0.8
2019-04-17,-2.63,0.03,0.0,12.2,3.4,21.2,0.8
2019-04-16,-2.04,1.03,0.0,11.6,0.5,22.9,0.6
2019-04-15,-1.41,1.12,0.0,8.7,-1.0,18.4,0.8
2019-04-14,-1.02,0.91,0.5,8.0,2.1,13.9,0.9
2019-04-13,-0.99,0.01,0.0,9.1,0.5,17.9,0.7
2019-04-12,-1.02,-0.88,0.0,8.2,0.7,17.2,0.7
2019-04-11,-1.19,-1.44,0.0,7.6,0.3,15.4,0.7
2019-04-10,-1.54,-2.53,2.5,6.8,3.0,10.5,1.1
2019-04-09,-2.19,-3.37,13.0,8.6,4.1,14.4,2.2
2019-04-08,-2.53,-3.77,0.0,9.0,0.7,16.4,0.9
2019-04-07,-2.82,-3.84,0.0,11.4,2.0,20.2,1.0
2019-04-06,-3.1,-3.79,0.0,8.7,-0.1,14.1,0.7
2019-04-05,-2.97,-3.17,0.0,9.4,1.3,16.6,1.1
2019-04-04,-2.89,-2.47,0.0,7.3,-2.6,16.4,1.2
2019-04-03,-2.56,-1.46,0.0,5.5,-2.7,14.0,0.9
2019-04-02,-2.07,-0.46,0.0,5.0,-4.0,12.4,0.8
2019-04-01,-1.64,0.05,0.0,4.8,-3.3,11.0,1.2
2019-03-31,-1.06,0.3,0.0,5.3,3.6,9.8,2.1
2019-03-30,-0.99,0.81,1.5,5.5,3.5,9.3,1.4
2019-03-29,-1.02,0.47,0.0,8.7,4.3,13.4,1.2
2019-03-28,-0.98,-0.32,0.0,8.0,2.7,13.4,1.1
2019-03-27,-0.97,-0.95,0.0,10.0,1.8,16.8,1.6
2019-03-26,-1.27,-1.79,0.0,8.7,1.0,16.2,0.7
2019-03-25,-1.71,-2.85,0.0,6.1,-2.3,13.8,1.2
2019-03-24,-2.43,-3.87,0.0,3.0,-4.6,10.1,0.9
2019-03-23,-3.0,-4.37,0.0,3.0,-4.6,9.7,1.6
2019-03-22,-3.6,-4.57,0.0,4.1,-0.2,9.0,1.5
2019-03-21,-2.96,-3.18,1.0,7.1,2.6,11.2,1.7
2019-03-20,-3.04,-2.05,19.5,8.4,0.9,15.6,0.9
2019-03-19,-2.51,-0.46,0.0,6.6,-2.4,16.8,0.6
2019-03-18,-1.89,0.66,0.0,4.4,-4.4,13.6,0.6
2019-03-17,-1.15,1.34,0.0,3.8,-2.9,12.3,0.7
2019-03-16,-1.0,0.64,0.0,4.0,-2.3,10.0,0.9
2019-03-15,-1.02,0.49,2.0,5.0,-1.7,12.4,0.8
2019-03-14,-0.98,-0.35,0.0,4.1,-6.3,10.2,0.8
2019-03-13,-1.04,-1.2,0.0,3.7,-1.9,8.8,1.4
2019-03-12,-1.32,-2.05,0.0,3.8,-0.1,8.3,1.3
2019-03-11,-1.5,-2.43,4.5,3.8,-2.7,9.4,0.6
2019-03-10,-2.0,-3.21,0.0,8.5,0.0,16.4,0.8
2019-03-09,-2.46,-3.56,0.0,4.5,-5.8,14.5,0.5
2019-03-08,-2.72,-3.68,0.0,2.6,-5.7,12.7,0.6
2019-03-07,-2.83,-3.45,0.0,4.1,-2.1,12.9,0.8
2019-03-06,-2.74,-2.91,0.0,5.5,-0.1,11.0,0.8
2019-03-05,-2.48,-2.02,0.0,4.7,-2.7,13.2,0.5
2019-03-04,-2.13,-1.09,0.0,5.7,-0.3,14.2,0.7
2019-03-03,-1.64,-0.1,0.0,5.6,-3.7,15.4,0.7
2019-03-02,-0.96,0.45,0.0,3.7,-5.1,14.5,0.5
2019-03-01,-0.97,0.92,0.0,2.6,-5.0,12.7,0.6
2019-02-28,-1.02,0.96,0.0,2.8,-4.3,12.5,0.6
2019-02-27,-1.04,0.63,0.0,4.5,-0.6,12.5,0.6
2019-02-26,-1.04,-0.06,0.0,2.2,-6.9,10.2,0.7
2019-02-25,-1.03,-1.01,0.0,2.2,-3.6,8.8,0.8
2019-02-24,-1.47,-1.94,0.0,2.8,-5.5,12.4,0.6
2019-02-23,-2.0,-3.17,0.0,2.9,-4.3,14.3,0.6
2019-02-22,-2.55,-3.84,0.0,0.4,-6.2,9.4,0.7
2019-02-21,-3.09,-4.21,0.0,-0.5,-6.8,8.2,0.6
2019-02-20,-3.28,-3.78,0.0,0.9,-4.2,6.4,0.7
2019-02-19,-2.96,-2.33,5.0,0.6,-2.4,3.3,0.5
2019-02-18,-2.47,-0.74,0.0,-1.2,-9.5,5.6,0.6
2019-02-17,-2.13,0.32,0.0,-3.5,-10.9,4.2,0.6
2019-02-16,-1.4,0.96,0.0,-1.8,-5.0,1.9,1.3
2019-02-15,-1.22,1.33,1.0,-0.5,-2.3,1.3,0.8
2019-02-14,-1.01,0.84,0.0,-2.2,-9.0,5.1,0.7
2019-02-13,-1.0,0.35,0.0,-2.5,-9.4,2.7,1.0
2019-02-12,-0.96,-0.44,0.0,-1.1,-8.4,4.7,0.7
2019-02-11,-1.0,-1.13,0.0,-4.0,-10.3,2.5,0.9
2019-02-10,-1.33,-1.84,0.0,-4.5,-10.9,-1.3,0.9
2019-02-09,-1.43,-2.21,0.0,-4.1,-7.6,-0.5,1.5
2019-02-08,-2.05,-3.12,0.0,-5.3,-9.9,0.0,1.1
2019-02-07,-2.05,-3.03,0.0,-1.4,-7.5,4.9,2.5
2019-02-06,-2.29,-3.04,0.0,3.6,-4.9,10.6,0.4
2019-02-05,-2.48,-2.8,0.0,0.1,-7.5,10.1,0.5
2019-02-04,-2.55,-2.64,0.0,-1.3,-5.8,4.0,0.8
2019-02-03,-2.18,-1.36,19.5,3.5,1.4,5.9,1.0
2019-02-02,-2.06,-0.43,0.0,0.6,-9.1,7.9,0.8
2019-02-01,-1.83,0.02,0.0,-4.1,-12.2,4.6,0.7
2019-01-31,-1.34,1.19,0.0,-1.1,-5.1,2.0,1.6
2019-01-30,-1.04,1.82,0.0,-0.6,-7.7,7.6,0.4
2019-01-29,-1.22,1.26,0.0,-2.5,-11.4,6.4,0.6
2019-01-28,-1.03,1.17,0.0,1.3,-4.2,5.0,1.5
2019-01-27,-1.22,0.09,0.0,-2.3,-13.0,5.4,0.6
2019-01-26,-1.1,-1.19,0.0,-3.8,-9.8,2.1,1.1
2019-01-25,-1.48,-2.02,0.0,-2.5,-10.0,4.5,1.3
2019-01-24,-2.07,-3.25,0.0,-3.5,-11.1,6.2,0.5
2019-01-23,-2.53,-3.57,0.0,-0.1,-8.0,8.3,0.7
2019-01-22,-2.97,-3.55,0.0,-1.8,-8.8,8.3,0.6
2019-01-21,-3.03,-2.84,0.0,-3.0,-11.4,5.9,0.9
2019-01-20,-2.45,-0.94,0.0,-0.6,-4.6,2.7,2.2
2019-01-19,-2.06,0.29,0.0,1.1,-5.2,10.7,0.4
2019-01-18,-1.79,1.12,0.0,-2.9,-11.4,7.2,0.4
2019-01-17,-1.27,1.8,0.0,-2.1,-8.4,5.5,0.8
2019-01-16,-1.18,1.21,0.0,-4.5,-10.6,-0.6,0.9
2019-01-15,-0.94,1.14,0.0,-1.7,-7.2,2.9,1.7
2019-01-14,-0.98,0.51,0.0,-1.3,-8.3,5.2,0.3
2019-01-13,-0.98,-0.17,0.0,-2.6,-9.5,7.3,0.5
2019-01-12,-1.0,-0.78,0.0,0.1,-6.2,7.4,0.5
2019-01-11,-1.21,-1.67,0.0,1.0,-3.3,7.1,0.4
2019-01-10,-1.43,-2.14,0.0,-2.3,-5.8,1.7,0.3
2019-01-09,-1.96,-2.98,0.0,-5.9,-13.8,1.4,0.6
2019-01-08,-2.19,-3.06,0.0,-4.5,-11.4,2.2,1.4
2019-01-07,-0.99,-3.02,0.0,-4.8,-12.0,4.3,0.4
2019-01-06,-2.58,-2.66,0.0,-5.8,-11.7,2.4,0.4
2019-01-05,-2.52,-1.86,0.0,-3.6,-10.6,1.8,0.9
2019-01-04,-2.24,-0.72,0.0,-4.7,-11.8,4.1,0.3
2019-01-03,-2.08,0.34,0.0,-6.4,-14.0,3.6,0.5
2019-01-02,-2.04,1.08,0.0,-7.5,-13.9,0.5,0.4
2019-01-01,-1.64,2.06,0.0,-5.7,-11.9,0.0,0.8
2018-12-31,-1.37,2.15,0.0,-6.5,-16.0,1.1,0.4
2018-12-30,-1.28,1.48,0.0,-9.1,-15.4,-1.0,0.5
2018-12-29,-1.21,0.52,0.0,-6.3,-12.4,-1.9,1.6
2018-12-28,-1.1,-0.6,0.0,-10.4,-14.4,-5.2,1.0
2018-12-27,-1.21,-1.48,0.0,-8.4,-11.3,-5.2,2.1
2018-12-26,-1.59,-2.58,0.0,-1.2,-5.4,3.6,1.7
2018-12-25,-2.31,-3.33,1.0,-2.7,-9.2,3.3,0.3
2018-12-24,-2.88,-3.55,0.0,-4.0,-9.4,3.7,0.6
2018-12-23,-2.85,-2.91,0.0,3.2,-3.2,9.1,1.7
2018-12-22,-2.67,-1.59,0.0,3.8,-2.8,11.4,0.6
2018-12-21,-2.43,-0.2,0.0,2.6,-5.8,11.0,0.3
2018-12-20,-2.16,0.82,0.0,0.0,-5.1,11.0,0.3
2018-12-19,-1.58,1.64,0.0,0.2,-5.0,9.4,0.4
2018-12-18,-1.36,1.69,0.0,-0.9,-7.6,9.2,0.4
2018-12-17,-1.1,1.63,0.0,-0.1,-5.7,7.2,0.5
2018-12-16,-0.96,1.27,0.0,-1.0,-7.3,4.2,0.4
2018-12-15,-0.96,0.55,0.0,-5.4,-13.0,3.5,0.2
2018-12-14,-0.98,-0.33,0.0,-6.7,-12.9,0.8,0.6
2018-12-13,-0.98,-0.93,2.5,-2.6,-8.2,4.1,1.2
2018-12-12,-1.21,-1.69,0.0,-2.5,-7.9,3.0,0.9
2018-12-11,-1.6,-2.44,0.0,-0.7,-6.4,4.6,0.4
2018-12-10,-2.05,-3.01,0.0,-4.6,-11.4,4.8,0.4
2018-12-09,-2.68,-3.51,0.0,-7.0,-13.9,-0.9,0.8
2018-12-08,-3.03,-3.38,0.0,-6.8,-10.2,-2.9,1.6
2018-12-07,-2.91,-2.75,0.0,-5.7,-9.1,-0.2,2.5
2018-12-06,-2.85,-1.45,0.0,2.8,-1.3,7.7,1.3
2018-12-05,-2.96,-0.67,0.5,1.1,-3.7,6.1,1.2
2018-12-04,-2.41,1.11,7.5,7.5,0.7,10.8,1.8
2018-12-03,-1.99,2.29,5.5,11.4,8.4,13.1,0.9
2018-12-02,-1.55,2.57,0.0,6.6,-3.1,14.4,0.7
2018-12-01,-1.35,2.14,0.0,2.9,-3.1,12.6,0.4
2018-11-30,-1.09,1.21,0.0,0.3,-6.3,8.9,0.5
2018-11-29,-1.0,0.11,0.0,1.9,-4.1,8.2,0.4
2018-11-28,-1.03,-1.25,0.0,3.4,-2.6,11.6,0.7
2018-11-27,-1.49,-2.33,0.0,6.1,-2.0,13.4,0.5
2018-11-26,-2.15,-3.28,0.0,4.1,-2.0,13.9,0.4
2018-11-25,-2.79,-3.72,0.0,4.4,-0.4,11.7,0.4
2018-11-24,-3.09,-3.41,4.5,3.4,0.6,6.8,1.6
2018-11-23,-3.06,-2.49,0.0,0.2,-6.9,7.9,0.5
2018-11-22,-2.92,-1.34,0.0,2.5,-5.2,8.0,0.9
2018-11-21,-2.35,0.1,8.0,4.9,-1.3,8.3,0.5
2018-11-20,-2.15,0.89,0.0,3.6,-4.9,13.1,0.6
2018-11-19,-1.7,1.53,0.0,5.1,-1.7,14.0,0.6
2018-11-18,-1.27,1.7,0.0,4.6,-2.3,11.9,0.4
2018-11-17,-1.03,1.34,0.0,3.4,-3.2,11.8,0.7
2018-11-16,-1.02,1.12,0.0,7.9,2.6,15.0,0.8
2018-11-15,-1.04,0.46,0.0,6.7,-0.7,16.5,0.4
2018-11-14,-1.0,-0.39,0.0,6.2,-1.2,16.3,0.5
2018-11-13,-1.03,-1.22,0.0,5.3,-1.5,15.2,0.5
2018-11-12,-1.41,-2.15,0.0,5.4,-0.8,14.3,0.7
2018-11-11,-1.85,-2.87,0.0,6.4,1.7,11.7,0.5
2018-11-10,-2.46,-3.53,0.0,8.9,3.5,17.2,0.6
2018-11-09,-2.74,-3.79,0.0,11.5,4.9,16.5,1.6
2018-11-08,-3.21,-3.51,58.0,13.1,11.8,15.3,1.6
2018-11-07,-3.3,-2.3,1.5,12.8,9.5,17.6,0.4
2018-11-06,-3.1,-0.8,0.0,9.8,3.6,16.9,0.4
2018-11-05,-2.88,0.64,0.0,8.5,0.4,17.6,0.5
2018-11-04,-2.36,1.88,0.0,8.0,-0.2,18.9,0.7
2018-11-03,-1.84,2.46,0.0,7.7,-0.5,18.9,0.5
2018-11-02,-1.44,2.16,0.0,7.9,-0.6,18.9,0.5
2018-11-01,-1.18,1.22,0.0,5.5,-2.4,15.5,0.6
2018-10-31,-1.01,0.24,0.0,5.8,-0.2,12.5,1.0
2018-10-30,-1.05,-1.06,0.0,5.1,-2.5,11.6,0.9
2018-10-29,-1.5,-2.43,0.5,7.4,2.6,13.5,1.1
2018-10-28,-2.16,-3.32,1.0,,2.7,15.3,1.0
2018-10-27,-2.46,-3.66,0.5,9.3,4.2,13.5,1.9
2018-10-26,-3.07,-3.74,16.0,11.7,7.6,15.4,1.0
2018-10-25,-3.18,-3.34,0.0,10.5,2.2,21.0,0.4
2018-10-24,-3.15,-2.33,0.0,9.3,2.6,19.0,0.6
2018-10-23,-2.83,-1.06,5.0,9.8,3.8,16.7,0.4
2018-10-22,-2.54,-0.04,0.0,10.0,3.6,20.3,0.4
2018-10-21,-2.11,0.84,0.0,9.4,1.7,20.0,0.5
2018-10-20,-1.53,1.53,0.0,9.2,1.3,20.6,0.5
2018-10-19,-1.3,1.46,0.0,9.8,1.7,19.4,0.7
2018-10-18,-1.17,1.32,4.5,8.8,1.0,19.3,0.7
2018-10-17,-1.05,0.92,0.0,9.1,2.9,18.2,0.6
2018-10-16,-1.06,0.22,0.0,11.3,5.8,20.6,0.5
2018-10-15,-1.03,-0.67,0.0,12.3,5.8,21.1,0.6
2018-10-14,-1.23,-1.65,0.0,10.6,2.4,19.5,0.5
2018-10-13,-1.75,-2.81,0.0,9.2,1.4,18.9,0.5
2018-10-12,-2.57,-3.76,0.0,8.3,0.5,17.0,0.8
2018-10-11,-3.15,-4.39,0.0,8.2,1.3,15.7,1.2
2018-10-10,-3.44,-3.93,4.0,12.4,5.2,16.0,1.9
2018-10-09,-3.5,-3.07,0.0,13.4,5.8,19.4,0.5
2018-10-08,-3.02,-1.31,0.0,11.0,4.6,20.5,0.4
2018-10-07,-3.12,0.12,0.0,14.1,6.9,21.4,0.9
2018-10-06,-2.55,1.51,65.0,16.9,12.6,22.7,1.5
2018-10-05,-1.85,2.45,15.5,16.3,14.4,17.9,1.0
2018-10-04,-1.39,2.27,0.0,16.6,8.2,25.7,1.0
2018-10-03,-1.07,1.69,0.0,14.3,6.5,23.5,0.7
2018-10-02,-1.1,0.17,0.0,13.1,5.9,21.3,0.8
2018-10-01,-1.05,-0.73,0.5,15.1,10.0,20.5,1.4
2018-09-30,-1.32,-1.75,0.0,16.4,10.4,21.7,1.5
2018-09-29,-1.77,-2.88,0.0,17.7,9.8,26.3,0.7
2018-09-28,-2.41,-3.62,0.0,15.5,9.5,22.7,0.9
2018-09-27,-2.87,-3.89,0.0,15.5,8.2,24.9,0.7
2018-09-26,-3.18,-3.63,0.0,16.5,11.6,24.2,1.0
2018-09-25,-3.12,-3.02,0.0,14.9,6.1,23.7,0.6
2018-09-24,-2.87,-1.87,0.0,15.2,9.1,22.5,1.0
2018-09-23,-2.64,-0.76,1.0,17.8,11.6,25.3,0.7
2018-09-22,-2.21,0.26,0.5,18.4,11.7,25.8,0.8
2018-09-21,-1.79,1.13,13.5,18.8,16.5,22.5,1.0
2018-09-20,-1.25,1.5,2.5,18.7,17.1,19.6,1.5
2018-09-19,-1.25,1.63,0.5,19.7,15.4,25.5,0.7
2018-09-18,-1.07,1.49,0.0,19.5,13.5,26.1,0.7
2018-09-17,-1.1,0.95,0.0,20.1,14.9,25.8,0.8
2018-09-16,-1.04,0.03,0.5,21.2,19.7,24.2,0.8
2018-09-15,-1.05,-1.1,3.0,21.1,19.5,23.3,0.7
2018-09-14,-1.6,-2.35,1.5,21.6,16.6,24.9,0.9
2018-09-13,-2.2,-3.54,0.0,21.5,16.6,27.9,0.8
2018-09-12,-2.89,-4.26,0.0,20.2,12.3,27.6,0.9
2018-09-11,-3.55,-4.5,0.0,18.8,12.2,25.5,0.9
2018-09-10,-3.67,-3.69,0.0,20.5,13.6,27.8,0.9
2018-09-09,-3.46,-1.82,0.0,18.9,11.1,27.3,0.8
2018-09-08,-3.06,0.1,0.0,18.9,11.0,27.1,0.8
2018-09-07,-2.35,1.93,0.5,20.1,13.3,25.0,1.6
2018-09-06,-1.85,2.47,0.0,22.5,17.2,28.6,1.1
2018-09-05,-1.43,2.56,0.0,22.0,16.3,28.0,1.5
2018-09-04,-1.1,1.92,0.0,23.2,18.5,27.8,1.6
2018-09-03,-1.1,0.86,14.0,23.6,21.9,28.5,1.0
2018-09-02,-1.09,-0.33,0.0,24.1,17.7,28.9,1.2
2018-09-01,-1.17,-1.49,0.0,23.9,17.2,30.5,1.2
2018-08-31,-1.54,-2.44,1.0,23.2,18.8,28.6,1.0
2018-08-30,-2.0,-3.16,1.0,25.7,23.7,29.4,1.3
2018-08-29,-2.49,-3.62,3.5,25.9,22.5,29.6,1.9
2018-08-28,-2.95,-3.76,61.5,23.3,22.1,25.4,0.8
2018-08-27,-3.04,-3.33,19.0,22.2,18.8,24.6,0.7
2018-08-26,-2.96,-2.53,4.0,20.3,17.1,27.0,0.8
2018-08-25,-2.84,-1.68,0.0,23.7,18.7,28.8,1.3
2018-08-24,-2.28,-0.35,0.5,24.0,22.1,26.7,2.0
2018-08-23,-1.91,0.94,6.0,27.7,24.5,32.7,1.7
2018-08-21,-1.24,2.36,32.5,24.6,20.7,29.9,1.4
2018-08-20,-1.24,2.1,0.0,27.3,20.4,33.6,1.4
2018-08-19,-1.14,1.75,0.0,25.6,18.6,33.5,0.9
2018-08-18,-1.05,1.02,0.0,24.2,17.2,31.8,1.2
2018-08-17,-1.07,-0.28,0.0,26.7,21.4,33.4,2.1
2018-08-16,-1.27,-1.69,0.0,29.5,24.5,36.2,2.1
2018-08-15,-1.82,-3.11,0.0,30.9,24.4,38.5,1.1
2018-08-14,-2.55,-4.0,0.0,30.1,24.0,36.3,1.0
2018-08-13,-3.29,-4.34,0.0,30.0,24.2,36.4,1.0
2018-08-12,-3.55,-3.72,0.5,29.3,23.9,35.3,1.1
2018-08-11,-3.47,-1.99,0.0,29.4,24.1,36.2,1.1
2018-08-10,-3.08,-0.09,0.0,29.7,23.8,34.8,1.1
2018-08-09,-2.6,1.47,0.0,28.1,24.5,32.7,1.3
2018-08-08,-2.06,2.47,0.0,29.3,25.6,34.7,1.7
2018-08-07,-1.6,2.58,0.0,29.3,23.9,35.3,1.2
2018-08-06,-1.26,2.11,0.0,29.1,25.9,34.2,1.5
2018-08-05,-1.05,1.17,0.0,28.8,24.6,33.5,1.5
2018-08-04,-1.06,0.2,0.0,28.9,24.5,34.0,1.2
2018-08-03,-1.07,-0.9,0.0,29.9,24.5,37.1,1.2
2018-08-02,-1.35,-1.93,0.0,29.8,24.4,36.8,1.0
2018-08-01,-1.79,-2.8,0.0,29.7,23.6,37.2,1.2
2018-07-31,-2.24,-3.32,0.0,29.6,23.0,36.7,1.0
2018-07-30,-2.82,-3.71,0.0,29.7,23.1,36.8,1.0
2018-07-29,-3.07,-3.57,0.0,30.2,23.2,36.4,1.7
2018-07-28,-3.04,-2.94,0.0,28.1,24.0,34.7,1.0
2018-07-27,-2.84,-1.9,0.0,28.6,24.8,34.3,1.6
2018-07-26,-2.61,-0.72,0.0,28.3,23.6,33.4,1.1
2018-07-25,-2.37,0.38,0.0,28.3,24.6,33.0,1.2
2018-07-24,-2.12,1.31,0.0,29.0,22.9,35.3,1.0
2018-07-23,-1.83,2.15,0.0,28.9,24.2,34.9,1.0
2018-07-22,-1.57,2.37,0.0,28.2,20.4,36.4,0.9
2018-07-21,-1.33,2.1,0.0,26.8,20.1,35.0,1.0
2018-07-20,-1.13,1.32,0.0,26.4,20.3,32.9,1.1
2018-07-19,-1.07,0.06,0.0,25.6,19.9,31.0,1.4
2018-07-18,-1.11,-1.37,0.0,25.9,20.2,31.9,1.2
2018-07-17,-1.77,-2.83,0.0,25.7,20.1,30.9,1.2
2018-07-16,-2.59,-3.97,0.0,26.0,20.5,32.5,1.1
2018-07-15,-3.32,-4.46,0.0,26.3,21.5,32.7,1.1
2018-07-14,-3.73,-4.07,0.0,26.5,21.3,32.1,1.1
2018-07-13,-3.66,-2.6,0.0,25.8,21.9,31.1,1.0
2018-07-12,-3.45,-0.97,0.0,26.3,22.7,31.4,1.2
2018-07-11,-2.82,0.82,2.5,26.7,23.6,32.0,1.1
2018-07-10,-2.37,1.76,4.0,24.1,20.3,27.1,1.1
2018-07-09,-1.83,2.31,15.5,20.8,20.0,22.6,1.5
2018-07-08,-1.29,2.17,0.0,22.5,17.1,28.2,1.4
2018-07-07,-1.07,1.53,0.0,24.0,20.3,29.7,1.7
2018-07-06,-1.09,0.64,0.0,24.2,21.9,28.1,2.3
2018-07-05,-1.06,-0.34,0.0,25.4,21.9,30.3,1.3
2018-07-04,-1.07,-1.18,0.0,25.2,21.5,30.3,1.5
2018-07-03,-1.47,-2.25,8.5,25.9,21.9,32.9,1.2
2018-07-02,-1.93,-2.96,56.0,22.5,20.2,28.1,1.4
2018-07-01,-2.51,-3.43,82.5,21.3,20.5,22.5,1.2
2018-06-30,-2.89,-3.55,0.0,23.6,19.0,29.2,0.6
2018-06-29,-2.95,-3.25,0.5,22.9,18.8,27.9,1.1
2018-06-28,-3.24,-2.66,1.0,22.5,19.7,25.9,0.9
2018-06-27,-2.78,-1.47,0.0,21.0,18.3,27.5,1.5
2018-06-26,-2.8,-0.28,80.0,21.2,19.5,24.1,2.2
2018-06-25,-2.63,0.73,0.0,24.1,17.5,32.3,0.8
2018-06-24,-2.28,1.49,0.0,23.3,18.9,31.0,1.4
2018-06-23,-1.88,2.16,0.0,22.3,16.3,28.7,1.4
2018-06-22,-1.5,2.07,0.0,22.2,15.5,31.1,1.1
2018-06-21,-1.16,1.54,0.0,21.0,16.0,26.3,1.8
2018-06-20,-1.04,0.42,0.0,21.3,16.1,26.9,1.9
2018-06-19,-1.06,-1.11,0.0,20.3,14.5,25.3,1.1
2018-06-18,-1.59,-2.6,0.0,21.4,15.8,29.1,1.1
2018-06-17,-2.32,-3.68,0.0,19.6,13.7,26.8,0.9
2018-06-16,-3.08,-4.28,0.0,20.6,13.6,27.3,1.6
2018-06-14,-3.49,-2.84,16.5,21.5,18.3,25.6,1.3
2018-06-13,-3.33,-1.51,0.0,20.5,14.3,27.1,1.0
2018-06-12,-2.99,-0.02,0.0,19.6,15.0,25.3,1.4
2018-06-11,-2.46,1.22,0.5,19.7,14.7,24.5,1.3
2018-06-10,-1.98,1.89,5.5,20.8,16.4,25.2,1.3
2018-06-09,-1.6,1.83,10.0,22.0,16.1,28.7,1.1
2018-06-08,-1.1,1.49,0.0,20.1,16.0,24.8,1.8
2018-06-07,-1.04,0.76,0.0,19.5,15.2,26.2,1.4
2018-06-06,-1.05,-0.15,0.0,19.3,13.7,25.1,1.5
2018-06-05,-1.07,-1.13,0.0,21.2,15.5,28.2,1.1
2018-06-04,-1.4,-1.99,0.0,19.9,12.8,25.6,1.1
2018-06-03,-1.84,-2.86,0.0,19.7,11.4,29.2,0.9
2018-06-02,-2.32,-3.37,0.0,19.0,11.9,27.8,1.3
2018-06-01,-2.83,-3.81,0.0,19.5,12.5,27.9,1.3
2018-05-31,-3.17,-3.8,0.5,17.5,10.7,24.1,1.3
2018-05-30,-3.29,-3.4,1.5,17.7,12.4,23.5,1.5
2018-05-29,-3.24,-2.32,14.5,19.5,16.2,25.9,1.0
2018-05-28,-3.08,-1.18,0.0,18.7,10.1,27.6,1.1
2018-05-27,-2.74,0.19,0.0,16.7,11.8,23.9,1.0
2018-05-26,-2.48,1.14,0.0,17.7,9.3,27.4,1.0
2018-05-25,-2.03,1.86,0.0,17.0,9.5,25.8,1.0
2018-05-24,-1.56,2.0,0.0,16.8,7.9,24.2,1.5
2018-05-23,-1.3,1.69,6.0,15.6,9.3,19.8,1.9
2018-05-22,-1.03,0.28,13.0,17.2,11.9,23.6,0.7
2018-05-21,-1.07,-1.01,0.0,15.0,5.9,23.1,1.1
2018-05-20,-1.45,-2.18,0.0,15.5,7.9,23.6,1.2
2018-05-19,-2.23,-3.6,0.0,16.8,8.5,24.3,1.9
2018-05-18,-2.82,-4.17,4.5,16.2,11.9,18.5,1.2
2018-05-17,-3.39,-4.34,55.0,20.9,18.5,24.5,1.3
2018-05-16,-3.46,-3.79,8.5,22.4,21.0,24.0,1.5
2018-05-14,-3.12,-1.27,0.0,16.6,10.3,25.0,1.0
2018-05-13,-2.58,0.05,0.5,13.9,10.9,17.9,1.7
2018-05-12,-2.27,0.74,22.0,14.2,11.5,15.9,1.1
2018-05-11,-1.77,1.06,0.0,14.2,10.4,20.8,1.4
2018-05-10,-1.12,1.04,0.0,13.5,7.5,20.5,1.7
2018-05-09,-1.02,0.86,0.0,13.3,6.5,20.9,1.6
2018-05-08,-1.04,0.12,0.0,17.5,10.6,23.4,2.2
2018-05-07,-1.05,-0.85,0.0,16.9,11.3,25.3,1.0
2018-05-06,-1.19,-1.46,26.5,15.7,13.9,19.5,1.4
2018-05-05,-1.56,-2.39,0.0,16.9,6.2,24.5,1.6
2018-05-04,-2.12,-3.24,0.0,13.3,7.8,19.6,3.1
2018-05-03,-2.66,-3.92,0.0,11.3,5.3,16.8,2.8
2018-05-02,-3.05,-4.09,1.0,15.0,10.7,20.3,2.0
2018-05-01,-3.46,-4.06,0.0,19.1,16.7,24.3,1.1
2018-04-30,-3.48,-3.5,0.0,17.5,9.2,23.5,1.2
2018-04-29,-3.41,-2.36,0.0,13.8,5.0,22.6,1.1
2018-04-28,-3.11,-1.04,0.0,12.9,6.8,20.3,1.2
2018-04-27,-2.54,0.24,0.0,12.7,5.3,20.6,1.2
2018-04-26,-1.97,1.28,0.0,12.3,5.1,21.3,1.1
2018-04-25,-1.53,1.6,0.0,11.6,1.9,21.5,1.2
2018-04-24,-1.11,1.21,2.5,12.2,6.7,17.0,2.0
2018-04-23,-1.01,0.16,49.0,10.7,10.0,13.9,3.4
2018-04-22,-1.05,-1.1,10.5,14.8,9.3,19.7,1.2
2018-04-21,-1.47,-2.24,8.5,15.3,5.9,24.9,1.2
2018-04-20,-2.06,-3.38,0.0,14.5,6.1,23.7,1.1
2018-04-19,-2.69,-4.12,0.0,11.7,1.8,20.2,1.0
2018-04-18,-3.17,-4.41,0.0,9.5,1.4,17.5,1.1
2018-04-17,-3.44,-4.13,0.0,10.2,2.3,19.3,1.2
2018-04-16,-3.59,-3.84,0.0,9.4,1.0,17.6,1.2
2018-04-15,-3.39,-2.8,0.0,8.7,4.1,13.9,2.0
2018-04-14,-2.58,-0.99,8.5,9.2,7.4,14.1,1.6
2018-04-13,-2.28,-0.17,0.0,13.3,3.0,20.1,1.4
2018-04-12,-1.93,0.36,0.0,10.0,2.2,18.4,1.5
2018-04-11,-1.03,1.16,0.0,11.3,5.6,16.9,2.3
2018-04-10,-1.03,0.73,0.5,15.0,3.5,23.3,3.0
2018-04-09,-1.14,0.23,0.0,7.9,-0.6,16.6,0.8
2018-04-08,-1.03,-0.4,0.0,6.4,-0.3,10.7,1.9
