월별평년값,,,,,,,,,,,,,
MONTHLY NORMALS,,,,,,,,,,,,,
* 목차로 돌아가기,,,,,,,,,,,,,
일최고기온 Daily Maximum Temperature(℃),,,,,,,,,,,,,
지점번호,지점명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
192,진주,7.2 ,9.6 ,14.2 ,19.9 ,24.6 ,27.4 ,29.6 ,30.6 ,26.9 ,22.3 ,15.6 ,9.2 
201,강화,1.7 ,4.5 ,9.8 ,16.2 ,21.4 ,25.4 ,27.6 ,29.0 ,25.5 ,19.5 ,11.5 ,3.9 
202,양평,2.3 ,5.6 ,11.9 ,19.2 ,24.5 ,28.3 ,29.6 ,30.3 ,26.2 ,20.2 ,11.9 ,4.1 
203,이천,2.7 ,6.0 ,12.2 ,19.3 ,24.4 ,27.9 ,29.4 ,30.2 ,26.0 ,20.4 ,12.1 ,4.4 
211,인제,1.5 ,4.7 ,10.5 ,17.8 ,23.2 ,27.0 ,28.2 ,28.8 ,24.7 ,19.1 ,11.0 ,3.5 
212,홍천,2.1 ,5.4 ,11.7 ,19.1 ,24.5 ,28.4 ,29.8 ,30.4 ,26.0 ,20.0 ,11.5 ,3.7 
216,태백,0.7 ,3.1 ,7.9 ,15.1 ,20.8 ,24.0 ,25.9 ,26.0 ,21.5 ,16.8 ,9.9 ,3.0 
217,정선군,1.8 ,5.0 ,11.4 ,17.7 ,24.5 ,28.0 ,29.0 ,29.7 ,24.6 ,19.1 ,11.4 ,3.1 
221,제천,1.6 ,4.8 ,10.8 ,18.1 ,23.4 ,27.1 ,28.6 ,29.3 ,25.1 ,19.5 ,11.4 ,3.7 
226,보은,3.2 ,6.0 ,11.9 ,18.8 ,23.8 ,27.1 ,28.9 ,29.5 ,25.4 ,20.1 ,12.8 ,5.3 
232,천안,3.0 ,5.8 ,11.8 ,18.7 ,24.1 ,27.5 ,29.5 ,30.2 ,26.1 ,20.4 ,12.8 ,5.2 
235,보령,4.2 ,6.2 ,10.8 ,16.7 ,21.9 ,25.7 ,28.4 ,29.8 ,26.2 ,20.7 ,13.7 ,6.7 
236,부여,4.4 ,7.2 ,12.7 ,19.3 ,24.5 ,28.0 ,29.8 ,30.8 ,26.9 ,21.4 ,13.8 ,6.5 
238,금산,4.0 ,6.8 ,12.5 ,19.3 ,24.4 ,27.8 ,29.8 ,30.3 ,26.2 ,20.8 ,13.6 ,6.2 
243,부안,4.5 ,6.7 ,11.8 ,17.9 ,23.2 ,26.6 ,29.7 ,30.6 ,26.6 ,21.1 ,14.1 ,7.0 
244,임실,3.8 ,6.5 ,12.1 ,18.7 ,23.7 ,27.1 ,29.1 ,29.8 ,26.0 ,20.6 ,13.4 ,6.0 
245,정읍,4.5 ,7.1 ,12.7 ,19.3 ,24.5 ,27.9 ,30.3 ,31.1 ,26.9 ,21.3 ,14.2 ,6.9 
247,남원,5.0 ,7.9 ,13.4 ,19.8 ,24.8 ,28.0 ,30.0 ,30.7 ,27.0 ,21.6 ,14.4 ,7.1 
248,장수,3.0 ,5.8 ,11.2 ,17.8 ,22.7 ,25.9 ,27.9 ,28.6 ,24.8 ,19.6 ,12.5 ,5.3 
252,영광군,4.2 ,6.4 ,11.8 ,17.7 ,23.7 ,26.9 ,29.7 ,30.9 ,26.7 ,21.2 ,14.3 ,6.6 
253,김해시,7.4 ,10.4 ,14.9 ,19.9 ,25.2 ,27.7 ,30.2 ,31.9 ,27.8 ,23.1 ,16.5 ,9.1 
254,순창군,4.4 ,7.5 ,13.1 ,19.2 ,25.2 ,28.3 ,30.0 ,31.1 ,26.8 ,21.3 ,14.1 ,6.2 
257,양산시,7.7 ,9.9 ,14.7 ,19.5 ,25.1 ,27.8 ,30.4 ,32.1 ,27.5 ,22.8 ,16.6 ,9.4 
259,강진군,6.1 ,8.3 ,13.3 ,18.4 ,23.9 ,26.6 ,29.1 ,30.6 ,26.9 ,22.0 ,15.6 ,8.2 
260,장흥,6.5 ,8.8 ,13.4 ,19.0 ,23.6 ,26.2 ,28.9 ,30.0 ,26.9 ,22.2 ,15.5 ,8.8 
261,해남,6.3 ,8.3 ,12.8 ,18.5 ,23.2 ,26.4 ,29.0 ,30.4 ,27.0 ,22.0 ,15.4 ,8.8 
262,고흥,7.0 ,9.2 ,13.5 ,18.9 ,23.3 ,26.0 ,28.7 ,30.1 ,26.8 ,22.2 ,15.7 ,9.3 
263,의령군,7.2 ,9.7 ,15.3 ,20.3 ,26.2 ,28.2 ,30.1 ,31.1 ,26.3 ,21.8 ,15.6 ,8.5 
264,함양군,5.8 ,8.4 ,14.3 ,19.7 ,25.5 ,28.2 ,30.4 ,31.2 ,26.3 ,21.6 ,15.0 ,7.4 
268,진도군,6.0 ,7.8 ,12.2 ,17.6 ,22.7 ,26.0 ,28.8 ,30.4 ,26.8 ,21.6 ,15.3 ,8.5 
271,봉화,3.0 ,5.9 ,11.2 ,18.1 ,23.3 ,26.6 ,28.0 ,28.6 ,24.5 ,19.5 ,12.1 ,5.1 
272,영주,2.7 ,5.8 ,11.5 ,18.6 ,23.9 ,27.4 ,28.9 ,29.6 ,25.5 ,20.0 ,12.2 ,4.8 
273,문경,3.4 ,6.3 ,12.1 ,18.9 ,24.0 ,27.2 ,28.8 ,29.4 ,25.3 ,20.0 ,12.4 ,5.4 
276,청송군,3.7 ,6.6 ,12.9 ,18.8 ,25.0 ,27.8 ,29.7 ,30.4 ,25.0 ,19.8 ,13.0 ,5.1 
277,영덕,5.8 ,8.1 ,12.5 ,18.4 ,22.9 ,25.6 ,28.6 ,29.1 ,25.0 ,20.7 ,14.6 ,8.0 
278,의성,4.8 ,7.8 ,13.4 ,20.3 ,25.4 ,28.6 ,30.5 ,31.0 ,26.6 ,21.4 ,14.0 ,6.8 
279,구미,4.9 ,7.9 ,13.6 ,20.4 ,25.4 ,28.4 ,30.2 ,30.7 ,26.4 ,21.2 ,13.9 ,6.9 
281,영천,5.5 ,8.3 ,13.6 ,19.9 ,24.9 ,27.6 ,29.9 ,30.5 ,26.2 ,21.5 ,14.6 ,7.5 
283,경주시,5.9 ,8.4 ,14.4 ,19.7 ,25.7 ,27.7 ,30.6 ,31.4 ,26.2 ,21.6 ,15.3 ,7.7 
284,거창,5.4 ,8.1 ,13.3 ,19.5 ,24.5 ,27.4 ,29.5 ,29.9 ,25.9 ,21.0 ,14.3 ,7.5 
285,합천,7.0 ,9.7 ,14.6 ,20.7 ,25.6 ,28.5 ,30.4 ,31.1 ,27.1 ,22.3 ,15.6 ,9.0 
288,밀양,7.4 ,9.9 ,14.7 ,20.7 ,25.5 ,28.3 ,30.4 ,31.3 ,27.4 ,22.6 ,15.9 ,9.3 
289,산청,6.1 ,8.9 ,13.7 ,19.8 ,24.7 ,27.5 ,29.5 ,30.2 ,26.5 ,21.7 ,15.0 ,8.3 
294,거제,7.3 ,9.4 ,13.5 ,18.6 ,23.1 ,25.8 ,28.3 ,29.9 ,26.5 ,22.0 ,15.7 ,9.5 
295,남해,6.9 ,9.2 ,13.7 ,19.3 ,23.9 ,26.5 ,29.2 ,30.4 ,26.6 ,21.9 ,15.4 ,9.1 
400,강남,2.5 ,5.6 ,11.6 ,18.5 ,24.5 ,28.4 ,30.0 ,31.0 ,26.8 ,20.6 ,12.3 ,4.5 
401,서초,2.7 ,5.9 ,12.0 ,19.0 ,25.1 ,29.3 ,30.7 ,31.9 ,27.5 ,21.0 ,12.6 ,4.6 
402,강동,2.4 ,5.9 ,12.1 ,18.9 ,24.7 ,28.7 ,30.0 ,30.8 ,26.6 ,20.5 ,12.2 ,4.3 
403,송파,3.0 ,6.1 ,12.2 ,19.1 ,24.9 ,28.7 ,30.2 ,31.1 ,27.0 ,20.9 ,12.8 ,5.0 
404,강서,2.1 ,5.3 ,11.0 ,17.7 ,23.5 ,27.5 ,29.2 ,30.4 ,26.4 ,20.2 ,11.7 ,4.0 
405,양천,2.6 ,5.7 ,11.8 ,18.7 ,24.6 ,28.6 ,30.3 ,31.4 ,27.4 ,20.8 ,12.4 ,4.6 
