시도명,시군구명,읍면동,날짜,우량(mm),관리기관명
안산시,상록구,안산동,2013-10-17,0,경기도 안산시청
안산시,상록구,안산동,2013-10-18,0,경기도 안산시청
안산시,상록구,안산동,2013-10-19,0,경기도 안산시청
안산시,상록구,안산동,2013-10-20,0,경기도 안산시청
안산시,상록구,안산동,2013-10-21,0,경기도 안산시청
안산시,상록구,안산동,2013-10-22,0,경기도 안산시청
안산시,상록구,안산동,2013-10-23,0,경기도 안산시청
안산시,상록구,안산동,2013-10-24,0,경기도 안산시청
안산시,상록구,안산동,2013-10-25,0,경기도 안산시청
안산시,상록구,안산동,2013-10-26,0,경기도 안산시청
안산시,상록구,안산동,2013-10-27,0,경기도 안산시청
안산시,상록구,안산동,2013-10-28,0,경기도 안산시청
안산시,상록구,안산동,2013-10-29,0,경기도 안산시청
안산시,상록구,안산동,2013-10-30,0,경기도 안산시청
안산시,상록구,안산동,2013-10-31,0,경기도 안산시청
안산시,상록구,안산동,2013-11-01,0,경기도 안산시청
안산시,상록구,안산동,2013-11-02,7,경기도 안산시청
안산시,상록구,안산동,2013-11-03,1,경기도 안산시청
안산시,상록구,안산동,2013-11-04,0,경기도 안산시청
안산시,상록구,안산동,2013-11-05,0,경기도 안산시청
안산시,상록구,안산동,2013-11-06,0,경기도 안산시청
안산시,상록구,안산동,2013-11-07,0,경기도 안산시청
안산시,상록구,안산동,2013-11-08,0,경기도 안산시청
안산시,상록구,안산동,2013-11-09,4,경기도 안산시청
안산시,상록구,안산동,2013-11-10,0,경기도 안산시청
안산시,상록구,안산동,2013-11-11,0,경기도 안산시청
안산시,상록구,안산동,2013-11-12,0,경기도 안산시청
안산시,상록구,안산동,2013-11-13,0,경기도 안산시청
안산시,상록구,안산동,2013-11-14,0,경기도 안산시청
안산시,상록구,안산동,2013-11-15,4,경기도 안산시청
안산시,상록구,안산동,2013-11-16,3,경기도 안산시청
안산시,상록구,안산동,2013-11-17,3,경기도 안산시청
안산시,상록구,안산동,2013-11-18,0,경기도 안산시청
안산시,상록구,안산동,2013-11-19,0,경기도 안산시청
안산시,상록구,안산동,2013-11-20,0,경기도 안산시청
안산시,상록구,안산동,2013-11-21,0,경기도 안산시청
안산시,상록구,안산동,2013-11-22,0,경기도 안산시청
안산시,상록구,안산동,2013-11-23,0,경기도 안산시청
안산시,상록구,안산동,2013-11-24,13,경기도 안산시청
안산시,상록구,안산동,2013-11-25,10,경기도 안산시청
안산시,상록구,안산동,2013-11-26,0,경기도 안산시청
안산시,상록구,안산동,2013-11-27,12,경기도 안산시청
안산시,상록구,안산동,2013-11-28,0,경기도 안산시청
안산시,상록구,안산동,2013-11-29,0,경기도 안산시청
안산시,상록구,안산동,2013-11-30,0,경기도 안산시청
안산시,상록구,안산동,2013-12-01,0,경기도 안산시청
안산시,상록구,안산동,2013-12-02,0,경기도 안산시청
안산시,상록구,안산동,2013-12-03,0,경기도 안산시청
안산시,상록구,안산동,2013-12-04,0,경기도 안산시청
안산시,상록구,안산동,2013-12-05,0,경기도 안산시청
안산시,상록구,안산동,2013-12-06,0,경기도 안산시청
안산시,상록구,안산동,2013-12-07,0,경기도 안산시청
안산시,상록구,안산동,2013-12-08,0,경기도 안산시청
안산시,상록구,안산동,2013-12-09,14,경기도 안산시청
안산시,상록구,안산동,2013-12-10,0,경기도 안산시청
안산시,상록구,안산동,2013-12-11,0,경기도 안산시청
안산시,상록구,안산동,2013-12-12,2,경기도 안산시청
안산시,상록구,안산동,2013-12-13,0,경기도 안산시청
안산시,상록구,안산동,2013-12-14,1,경기도 안산시청
안산시,상록구,안산동,2013-12-15,0,경기도 안산시청
안산시,상록구,안산동,2013-12-16,0,경기도 안산시청
안산시,상록구,안산동,2013-12-17,1,경기도 안산시청
안산시,상록구,안산동,2013-12-18,0,경기도 안산시청
안산시,상록구,안산동,2013-12-19,0,경기도 안산시청
안산시,상록구,안산동,2013-12-20,1,경기도 안산시청
안산시,상록구,안산동,2013-12-21,0,경기도 안산시청
안산시,상록구,안산동,2013-12-22,0,경기도 안산시청
안산시,상록구,안산동,2013-12-23,0,경기도 안산시청
안산시,상록구,안산동,2013-12-24,0,경기도 안산시청
안산시,상록구,안산동,2013-12-25,0,경기도 안산시청
안산시,상록구,안산동,2013-12-26,1,경기도 안산시청
안산시,상록구,안산동,2013-12-27,0,경기도 안산시청
안산시,상록구,안산동,2013-12-28,0,경기도 안산시청
안산시,상록구,안산동,2013-12-29,0,경기도 안산시청
안산시,상록구,안산동,2013-12-30,2,경기도 안산시청
안산시,상록구,안산동,2013-12-31,0,경기도 안산시청
안산시,상록구,안산동,2014-01-01,0,경기도 안산시청
안산시,상록구,안산동,2014-01-02,0,경기도 안산시청
안산시,상록구,안산동,2014-01-03,0,경기도 안산시청
안산시,상록구,안산동,2014-01-04,0,경기도 안산시청
안산시,상록구,안산동,2014-01-05,0,경기도 안산시청
안산시,상록구,안산동,2014-01-06,0,경기도 안산시청
안산시,상록구,안산동,2014-01-07,0,경기도 안산시청
안산시,상록구,안산동,2014-01-08,0,경기도 안산시청
안산시,상록구,안산동,2014-01-09,0,경기도 안산시청
안산시,상록구,안산동,2014-01-10,0,경기도 안산시청
안산시,상록구,안산동,2014-01-11,0,경기도 안산시청
안산시,상록구,안산동,2014-01-12,0,경기도 안산시청
